reactions,id
[OH:20][CH:19]([C:14]1=[CH:13][C:12]2=[CH:11][CH:10]=[C:9]([CH:18]=[C:17]2[CH:16]=[CH:15]1)[CH2:8][CH2:7][N:6]3[CH:2]([CH2:3][CH2:4][CH2:5]3)[CH3:1])[C:21]4=[CH:22][CH:23]=[CH:24][C:25]([F:26])=[CH:27]4>>[O:20]=[C:19]([C:21]1=[CH:22][CH:23]=[CH:24][C:25]([F:26])=[CH:27]1)[C:14]2=[CH:13][C:12]3=[CH:11][CH:10]=[C:9]([CH:18]=[C:17]3[CH:16]=[CH:15]2)[CH2:8][CH2:7][N:6]4[CH:2]([CH2:3][CH2:4][CH2:5]4)[CH3:1],golden_52
[CH3:8][C:7]([CH3:9])([C:5]([O:4][CH2:3][CH3:2])=[O:6])[O:10][C:11]1=[CH:12][CH:13]=[C:14]([N:16]=[CH:17]1)[CH3:15].[OH2:1]>>[CH3:8][C:7]([CH3:9])([O:10][C:11]=1[CH:17]=[N:16][C:14]([CH3:15])=[CH:13][CH:12]=1)[C:5](=[O:6])[OH:1],golden_53
[O:19]1[CH2:20][CH2:21][CH:22]=[CH:23][CH:18]1[C:13]=2[CH:14]=[CH:15][C:16](=[O:17])[N:11]([CH2:10][CH2:9][O:8][C:7]3=[CH:24][CH:25]=[N:26][C:27]4=[CH:28][C:3](=[CH:4][CH:5]=[C:6]34)[O:2][CH3:1])[CH:12]=2>>[C:13]=1([CH:18]2[O:19][CH2:20][CH2:21][CH2:22][CH2:23]2)[CH:14]=[CH:15][C:16](=[O:17])[N:11]([CH2:10][CH2:9][O:8][C:7]3=[CH:24][CH:25]=[N:26][C:27]4=[CH:28][C:3](=[CH:4][CH:5]=[C:6]34)[O:2][CH3:1])[CH:12]=1,golden_54
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6]([NH:8][CH:9]1[C:26](=[O:27])[N:12]([N:13]=[C:14]2[CH2:19][CH2:18][N:17]([CH2:16][CH2:15]2)[C:20]3=[CH:21][CH:22]=[N:23][CH:24]=[CH:25]3)[CH2:11][CH2:10]1)=[O:7]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6]([NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:19][CH2:18][N:17]([CH2:16][CH2:15]2)[C:20]=3[CH:21]=[CH:22][N:23]=[CH:24][CH:25]=3)[C:26]1=[O:27])=[O:7],golden_55
[CH2:18]1[CH2:19][CH2:20][CH2:21][CH2:22][N:17]1[CH2:16][CH2:15][O:14][C:13]2=[CH:12][CH:11]=[C:10]([CH:24]=[CH:23]2)[C:8]([C:7]3=[C:25]([C:30]=4[C:36]([F:37])=[CH:35][CH:34]=[C:32]([CH:31]=4)[F:33])[CH:26]=[CH:27][C:28]=5[C:6]3=[CH:5][CH:4]=[C:3]([CH:29]=5)[O:2][CH3:1])=[O:9]>>[CH2:18]1[CH2:19][CH2:20][CH2:21][CH2:22][N:17]1[CH2:16][CH2:15][O:14][C:13]=2[CH:12]=[CH:11][C:10]([C:8]([C:7]=3[C:6]=4[C:28](=[CH:29][C:3](=[CH:4][CH:5]=4)[OH:2])[CH:27]=[CH:26][C:25]=3[C:30]5=[CH:31][C:32]([F:33])=[CH:34][CH:35]=[C:36]5[F:37])=[O:9])=[CH:24][CH:23]=2,golden_56
[C:9]=1([N:5]([CH2:4][C:2]([CH3:1])=[O:3])[N:6]=[C:7]([N+:11](=[O:13])[O-:12])[CH:8]=1)[CH3:10]>>[CH:2]([OH:3])([CH3:1])[CH2:4][N:5]1[C:9]([CH3:10])=[CH:8][C:7]([N+:11](=[O:13])[O-:12])=[N:6]1,golden_57
[CH:22]1=[C:20]([C:17]([O:18][CH3:19])=[CH:16][CH:15]=[C:14]1[CH:12]([C:6]=2[CH:5]=[C:4]([O:3][CH2:2][CH3:1])[C:9]([O:10][CH3:11])=[CH:8][CH:7]=2)[OH:13])[CH3:21]>>[C:6]=1([C:12](=[O:13])[C:14]2=[CH:15][CH:16]=[C:17]([O:18][CH3:19])[C:20]([CH3:21])=[CH:22]2)[CH:5]=[C:4]([C:9]([O:10][CH3:11])=[CH:8][CH:7]=1)[O:3][CH2:2][CH3:1],golden_58
[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[C:7]([N:17]1[CH:18]=[N:19][CH:20]=[N:21]1)=[CH:8][C:9]=2[C:15](=[CH:14][C:12](=[CH:11][CH:10]=2)[Cl:13])[Cl:16]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[C:7](=[CH:8][C:9]=1[C:15]([Cl:16])=[CH:14][C:12](=[CH:11][CH:10]=1)[Cl:13])[N:17]2[CH:18]=[N:19][CH:20]=[N:21]2,golden_59
[C:5]1([CH2:6][CH2:7][CH2:8][O:9][CH2:10]1)=[CH:4][CH2:3][CH2:2][OH:1]>>[CH2:10]1[CH:5]([CH2:6][CH2:7][CH2:8][O:9]1)[CH2:4][CH2:3][CH2:2][OH:1],golden_60
[CH2:30]([O:29][P:27]([O:32][CH2:33][CH3:34])([CH:26]=[CH:25][C:24]1=[CH:23][N:22]([C:35]2=[CH:36][CH:37]=[CH:38][CH:39]=[CH:40]2)[N:21]=[C:20]1[O:19][CH2:18][C:17]=3[CH:41]=[C:42]([O:43][CH3:44])[C:14](=[CH:15][CH:16]=3)[O:13][CH2:12][C:11]=4[N:10]=[C:9]([CH:8]=[CH:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])[O:47][C:45]=4[CH3:46])=[O:28])[CH3:31].[OH2:1]>>[O:29]([CH2:30][CH3:31])[P:27]([O:32][CH2:33][CH3:34])(=[O:28])[CH:26]=[CH:25][C:24]=1[C:20]([O:19][CH2:18][C:17]=2[CH:41]=[C:42]([O:43][CH3:44])[C:14]([O:13][CH2:12][C:11]=3[N:10]=[C:9]([CH:8]=[CH:7][C:5](=[O:6])[OH:1])[O:47][C:45]=3[CH3:46])=[CH:15][CH:16]=2)=[N:21][N:22]([C:35]4=[CH:36][CH:37]=[CH:38][CH:39]=[CH:40]4)[CH:23]=1,golden_61
[CH3:24][C:23]1([CH3:25])[CH:20]2[CH:21]1[C:22]=3[C:18](=[C:4]([C:5]([CH:7]=[CH:8][C:9]4=[CH:10][CH:11]=[C:12]([CH:13]=[CH:14]4)[C:15](=[O:17])[OH:16])=[O:6])[S:3][C:2]=3[CH3:1])[CH2:19]2>>[CH3:24][C:23]1([CH3:25])[CH:20]2[CH:21]1[C:22]=3[C:18](=[C:4]([S:3][C:2]=3[CH3:1])[C:5](=[O:6])[CH2:7][CH2:8][C:9]=4[CH:10]=[CH:11][C:12]([C:15]([OH:16])=[O:17])=[CH:13][CH:14]=4)[CH2:19]2,golden_62
[CH2:18]1[CH2:19][CH:17]1[CH:15]([OH:16])[C:12]=2[N:11]=[C:10]3[S:9][C:7]=4[C:6](=[CH:5][CH:4]=[C:3]([CH:8]=4)[O:2][CH3:1])[N:14]3[CH:13]=2>>[CH2:18]1[CH2:19][CH:17]1[C:15]([C:12]2=[CH:13][N:14]3[C:10](=[N:11]2)[S:9][C:7]4=[CH:8][C:3](=[CH:4][CH:5]=[C:6]34)[O:2][CH3:1])=[O:16],golden_63
[C:15]1=2[S:14][C:12]([CH3:13])=[N:11][C:10]1=[C:6]([N+:7]([O-:8])=[O:9])[CH:5]=[CH:4][C:3]=2[O:2][CH3:1]>>[CH:5]=1[CH:4]=[C:3]([C:15]2=[C:10]([N:11]=[C:12]([CH3:13])[S:14]2)[C:6]=1[N+:7]([O-:8])=[O:9])[OH:2],golden_64
[OH:12][CH:11]([C:9]=1[CH:8]=[C:5]([O:6][CH3:7])[CH:4]=[C:3]([O:2][CH3:1])[CH:10]=1)[C:13]=2[CH:26]=[C:17]([CH:16]=[CH:15][CH:14]=2)[O:18][CH2:19][C:20]3=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]3>>[O:2]([C:3]1=[CH:4][C:5]([O:6][CH3:7])=[CH:8][C:9](=[CH:10]1)[C:11]([C:13]2=[CH:14][CH:15]=[CH:16][C:17]([O:18][CH2:19][C:20]3=[CH:25][CH:24]=[CH:23][CH:22]=[CH:21]3)=[CH:26]2)=[O:12])[CH3:1],golden_65
[CH3:1][C:2]([CH3:3])([CH3:4])[N:5]([CH2:6][C:7](=[O:8])[O-:9])[C:10](=[O:11])[C:12]=1[C:28]([C:27]2=[CH:26][CH:25]=[CH:24][C:22]([Cl:23])=[C:21]2[C:15]3([CH2:16][CH2:17][O:18][CH2:19][CH2:20]3)[C:13]=1[OH:14])=[O:29]>>[CH2:17]1[CH2:16][C:15]2([CH2:20][CH2:19][O:18]1)[C:21]=3[C:27](=[CH:26][CH:25]=[CH:24][C:22]=3[Cl:23])[C:28](=[O:29])[C:12]([C:10]([NH:5][CH2:6][C:7](=[O:8])[OH:9])=[O:11])=[C:13]2[OH:14],golden_66
[CH2:18]1[CH2:19][N:20]([CH2:21][CH2:22][CH:17]1[NH:16][C:15]2=[N:14][CH:13]=[C:12]([C:10]([C:9]=3[C:7]([F:8])=[C:5]([CH:4]=[C:3]([C:30]=3[O:31][CH3:32])[O:2][CH3:1])[F:6])=[O:11])[C:28](=[N:27]2)[NH2:29])[S:23](=[O:25])(=[O:26])[CH3:24]>>[CH2:18]1[CH2:19][N:20]([CH2:21][CH2:22][CH:17]1[NH:16][C:15]=2[N:27]=[C:28]([C:12](=[CH:13][N:14]=2)[C:10](=[O:11])[C:9]=3[C:7]([F:8])=[C:5]([F:6])[CH:4]=[C:3]([C:30]=3[OH:31])[O:2][CH3:1])[NH2:29])[S:23](=[O:25])(=[O:26])[CH3:24],golden_67
[CH3:10][Si:9]([CH3:11])([CH3:12])[C:8]=1[N:3]([C:4](=[N:5][C:6]=1[F:7])[C:13]=2[C:22]=3[CH:21]=[CH:20][CH:19]=[CH:18][C:17]=3[CH:16]=[CH:15][CH:14]=2)[CH2:2][CH3:1]>>[CH:14]1=[C:13]([C:22]=2[CH:21]=[CH:20][CH:19]=[CH:18][C:17]=2[CH:16]=[CH:15]1)[C:4]=3[N:3]([CH:8]=[C:6]([N:5]=3)[F:7])[CH2:2][CH3:1],golden_68
[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([C:4](=[O:5])[O:3][CH3:2])[N:11]1[C:26]([CH:13]([N:14]2[C:18](=[O:19])[O:17][CH2:16][CH:15]2[C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)[CH:12]1[C:28]=4[CH:29]=[CH:30][CH:31]=[CH:32][C:33]=4[CH:34]=[CH2:35])=[O:27].[OH2:1]>>[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([C:4](=[O:5])[OH:1])[N:11]1[CH:12]([CH:13]([N:14]2[C:18](=[O:19])[O:17][CH2:16][CH:15]2[C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)[C:26]1=[O:27])[C:28]=4[CH:29]=[CH:30][CH:31]=[CH:32][C:33]=4[CH:34]=[CH2:35],golden_69
[NH:2]([C:3]=1[CH:10]=[C:7]([C:6](=[CH:5][CH:4]=1)[C:11]=2[CH:12]=[CH:13][C:14]=3[C:18](=[N:17][O:16][N:15]=3)[CH:19]=2)[O:8][CH3:9])[CH3:1]>>[NH:2]([CH3:1])[C:3]1=[CH:4][CH:5]=[C:6]([C:7]([OH:8])=[CH:10]1)[C:11]=2[CH:12]=[CH:13][C:14]=3[C:18](=[N:17][O:16][N:15]=3)[CH:19]=2,golden_70
[CH2:21]([CH3:22])[O:20][P:18]([O:23][CH2:24][CH3:25])(=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][O:11][C:10]1=[CH:9][CH:8]=[C:7]([CH:27]=[CH:26]1)[C:5](=[O:6])[O:4][CH2:3][CH3:2].[OH2:1]>>[CH2:21]([CH3:22])[O:20][P:18]([O:23][CH2:24][CH3:25])(=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][O:11][C:10]1=[CH:9][CH:8]=[C:7]([C:5](=[O:6])[OH:1])[CH:27]=[CH:26]1,golden_71
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6]([N:8]1[CH2:9][CH2:10][CH2:11][C:12](=[CH:14][C:15]2=[CH:16][CH:17]=[C:18]([F:19])[CH:20]=[CH:21]2)[CH2:13]1)=[O:7]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:13][CH:12]([CH2:14][C:15]=2[CH:16]=[CH:17][C:18]([F:19])=[CH:20][CH:21]=2)[CH2:11][CH2:10][CH2:9]1,golden_72
[CH2:6]1[CH2:7][C:3]([CH2:2][OH:1])=[C:4]([C:8]2=[CH:9][CH:10]=[C:11]([Br:12])[CH:13]=[CH:14]2)[CH2:5]1>>[CH2:6]1[CH2:7][C:3]([CH:2]=[O:1])=[C:4]([C:8]2=[CH:14][CH:13]=[C:11]([Br:12])[CH:10]=[CH:9]2)[CH2:5]1,golden_73
[CH2:26]1[CH2:25][N:24]([CH2:29][CH2:28][CH:27]1[O:30][C:31](=[O:32])[NH:33][C:34]2=[CH:35][CH:36]=[CH:37][CH:38]=[C:39]2[C:40]3=[CH:41][CH:42]=[CH:43][CH:44]=[CH:45]3)[CH2:23][CH2:22][C:20](=[O:21])[N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[NH:9][C:10]=4[C:18](=[CH:17][C:14](=[C:12]([CH:11]=4)[CH3:13])[CH2:15][OH:16])[CH3:19])[CH3:1]>>[CH2:26]1[CH2:25][N:24]([CH2:29][CH2:28][CH:27]1[O:30][C:31](=[O:32])[NH:33][C:34]2=[CH:35][CH:36]=[CH:37][CH:38]=[C:39]2[C:40]3=[CH:45][CH:44]=[CH:43][CH:42]=[CH:41]3)[CH2:23][CH2:22][C:20](=[O:21])[N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7]([NH:9][C:10]4=[CH:11][C:12]([CH3:13])=[C:14]([CH:15]=[O:16])[CH:17]=[C:18]4[CH3:19])=[O:8])[CH3:1],golden_74
[F:1][C:2]([F:3])([F:4])[C:5]([NH:7][C:8]1=[CH:9][CH:10]=[C:11]2[C:16](=[CH:17]1)[C:14]([CH2:13][CH2:12]2)=[O:15])=[O:6]>>[F:1][C:2]([F:3])([F:4])[C:5](=[O:6])[NH:7][C:8]=1[CH:17]=[C:16]2[C:11](=[CH:10][CH:9]=1)[CH2:12][CH2:13][CH:14]2[OH:15],golden_75
[CH:6]=1[C:7](=[C:9]([C:3]([O:2][CH3:1])=[CH:4][C:5]=1[CH:12]2[CH:29]3[C:22]([O:23][CH:24]([NH2:25])[N:26]3[C:27]#[N:28])=[C:21]4[C:14](=[CH:13]2)[CH:15]=[C:16]([C:18](=[O:19])[O:20]4)[CH3:17])[O:10][CH3:11])[Br:8]>>[N:28]#[C:27][N:26]1[CH:29]2[C:22]([O:23][CH2:24]1)=[C:21]3[C:14](=[CH:13][CH:12]2[C:5]4=[CH:6][C:7](=[C:9]([C:3]([O:2][CH3:1])=[CH:4]4)[O:10][CH3:11])[Br:8])[CH:15]=[C:16]([C:18](=[O:19])[O:20]3)[CH3:17],golden_76
[O:2]([CH3:1])[C:3]=1[CH:17]=[C:16]2[C:6]([NH:7][C:8]3=[C:15]2[C:13]([CH3:14])=[CH:12][CH:11]=[C:9]3[CH3:10])=[CH:5][CH:4]=1>>[C:8]12=[C:9]([CH3:10])[CH:11]=[CH:12][C:13]([CH3:14])=[C:15]1[C:16]3=[C:6]([NH:7]2)[CH:5]=[CH:4][C:3]([OH:2])=[CH:17]3,golden_77
[CH3:22][C:21]([CH3:24])([CH3:23])[O:20][C:18]([CH2:17][O:16][C:15]=1[CH:14]=[CH:13][CH:12]=[C:11]([C:9]([CH2:8][CH2:7][C:6]2=[CH:5][CH:4]=[C:3]([C:27]([O:28][CH3:29])=[CH:26]2)[O:2][CH3:1])=[O:10])[CH:25]=1)=[O:19]>>[CH3:22][C:21]([CH3:24])([CH3:23])[O:20][C:18]([CH2:17][O:16][C:15]1=[CH:25][C:11]([CH:9]([OH:10])[CH2:8][CH2:7][C:6]2=[CH:5][CH:4]=[C:3]([C:27]([O:28][CH3:29])=[CH:26]2)[O:2][CH3:1])=[CH:12][CH:13]=[CH:14]1)=[O:19],golden_78
[CH2:6]1[CH2:7][C:5]1([C:3](=[O:4])[O:2][CH3:1])[C:8]=2[CH:17]=[C:15]([C:12](=[C:10]([CH:9]=2)[F:11])[O:13][CH3:14])[F:16]>>[CH2:6]1[CH2:7][C:5]1([C:3](=[O:4])[O:2][CH3:1])[C:8]=2[CH:9]=[C:10]([C:12](=[C:15]([F:16])[CH:17]=2)[OH:13])[F:11],golden_79
[CH2:7]1[CH2:6][N:5]([CH2:10][CH2:9][N:8]1[C:11]2=[CH:12][CH:13]=[C:14]([CH:17]=[CH:18]2)[O:15][CH3:16])[CH2:4][CH2:3][CH2:2][CH3:1]>>[CH2:7]1[CH2:6][N:5]([CH2:10][CH2:9][N:8]1[C:11]=2[CH:12]=[CH:13][C:14]([OH:15])=[CH:17][CH:18]=2)[CH2:4][CH2:3][CH2:2][CH3:1],golden_80
[CH2:12]1[CH:11]([O:16][CH2:15][CH2:14][CH2:13]1)[O:10][CH2:9][CH2:8][CH2:7][C:6](=[CH:17][C:18]=2[C:27]3=[C:22]([CH:23]=[CH:24][CH:25]=[CH:26]3)[CH:21]=[CH:20][CH:19]=2)[C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[CH2:12]1[CH:11]([O:16][CH2:15][CH2:14][CH2:13]1)[O:10][CH2:9][CH2:8][CH2:7][CH:6]([C:4](=[O:5])[O:3][CH2:2][CH3:1])[CH2:17][C:18]2=[CH:19][CH:20]=[CH:21][C:22]=3[CH:23]=[CH:24][CH:25]=[CH:26][C:27]2=3,golden_81
[O:3]=[C:2]([NH:4][C:5]=1[C:10](=[CH:9][CH:8]=[CH:7][CH:6]=1)[CH2:11][OH:12])[CH3:1]>>[O:12]=[CH:11][C:10]=1[C:5](=[CH:6][CH:7]=[CH:8][CH:9]=1)[NH:4][C:2](=[O:3])[CH3:1],golden_82
[CH3:30][C:29]1([CH3:31])[CH2:28][CH:27]=[C:18]([C:16]2=[CH:17][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([CH:7]=[CH:8]3)[C:4](=[O:5])[O:3][CH3:2])=[CH:13][CH:14]=[C:15]12)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4.[OH2:1]>>[CH3:30][C:29]1([CH3:31])[C:15]=2[CH:14]=[CH:13][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([C:4](=[O:5])[OH:1])[CH:7]=[CH:8]3)=[CH:17][C:16]=2[C:18](=[CH:27][CH2:28]1)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4,golden_83
[CH3:32][CH:31]([CH3:33])[C:11]=1[CH:10]=[C:9]([O:8][CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])[C:14](=[CH:13][CH:12]=1)[CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[C:21]2=[CH:22][C:23]([C:29]#[N:30])=[CH:24][CH:25]=[C:26]2[O:27][CH3:28].[OH2:1]>>[O:19]=[S:18](=[O:20])([NH:17][CH2:16][CH2:15][C:14]=1[CH:13]=[CH:12][C:11](=[CH:10][C:9]=1[O:8][CH2:7][C:5](=[O:6])[OH:1])[CH:31]([CH3:32])[CH3:33])[C:21]=2[CH:22]=[C:23]([CH:24]=[CH:25][C:26]=2[O:27][CH3:28])[C:29]#[N:30],golden_84
[CH3:26][C:25]([CH3:27])([CH3:28])[Si:22]([CH3:24])([CH3:23])[O:21][C:20]1=[CH:29][C:16]([CH:14]([OH:15])[C:11]=2[CH:12]=[CH:13][C:8](=[CH:9][CH:10]=2)[C:6]([N:3]([CH2:2][CH3:1])[CH2:4][CH3:5])=[O:7])=[CH:17][CH:18]=[CH:19]1>>[CH3:26][C:25]([CH3:27])([CH3:28])[Si:22]([CH3:24])([CH3:23])[O:21][C:20]=1[CH:19]=[CH:18][CH:17]=[C:16]([C:14]([C:11]2=[CH:12][CH:13]=[C:8]([CH:9]=[CH:10]2)[C:6]([N:3]([CH2:2][CH3:1])[CH2:4][CH3:5])=[O:7])=[O:15])[CH:29]=1,golden_85
[F:22][C:21]([F:24])([F:23])[C:16]=1[N:17]([C:19](=[O:20])[N:12]([C:13]([CH:15]=1)=[O:14])[C:11]=2[C:3]([O:2][CH3:1])=[C:4]([C:6]([Cl:7])=[CH:8][C:9]=2[F:10])[I:5])[CH3:18]>>[F:22][C:21]([F:24])([F:23])[C:16]1=[CH:15][C:13]([N:12]([C:19]([N:17]1[CH3:18])=[O:20])[C:11]2=[C:3]([OH:2])[C:4]([I:5])=[C:6]([Cl:7])[CH:8]=[C:9]2[F:10])=[O:14],golden_86
[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4]([O:3][CH3:2])=[O:5].[OH2:1]>>[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4](=[O:5])[OH:1],golden_87
[CH3:10][C:9]([CH3:11])([CH:12]([OH:13])[C:14]=1[CH:21]=[C:18]([CH:17]=[CH:16][CH:15]=1)[CH:19]=[CH2:20])[N:6]2[C:4]([C:3]([C:22]3=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]3)=[C:2]([CH3:1])[O:8][CH2:7]2)=[O:5]>>[CH3:10][C:9]([CH3:11])([N:6]1[C:4](=[O:5])[C:3](=[C:2]([CH3:1])[O:8][CH2:7]1)[C:22]=2[CH:23]=[CH:24][CH:25]=[CH:26][CH:27]=2)[C:12]([C:14]3=[CH:15][CH:16]=[CH:17][C:18](=[CH:21]3)[CH:19]=[CH2:20])=[O:13],golden_88
[CH:9](=[CH:10][C:11]=1[CH:16]=[CH:15][CH:14]=[CH:13][CH:12]=1)[C:8]=2[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=2)[O:2][CH3:1]>>[CH:15]1=[CH:14][CH:13]=[CH:12][C:11]([CH:10]=[CH:9][C:8]=2[C:3]([OH:2])=[CH:4][CH:5]=[CH:6][CH:7]=2)=[CH:16]1,golden_89
[Br:22][C:21]1=[N:23][C:17](=[CH:18][CH:19]=[CH:20]1)[CH2:16][OH:15].[C:9]=1([CH:8]=[CH:7][C:5](=[C:4]([CH2:3][CH2:2][CH3:1])[C:13]=1[OH:14])[OH:6])[C:10](=[O:12])[CH3:11]>>[O:6]([CH2:16][C:17]1=[CH:18][CH:19]=[CH:20][C:21](=[N:23]1)[Br:22])[C:5]2=[CH:7][CH:8]=[C:9]([C:13]([OH:14])=[C:4]2[CH2:3][CH2:2][CH3:1])[C:10](=[O:12])[CH3:11],golden_90
[CH2:34]1[CH2:33][N:32]([CH2:37][CH2:36][NH:35]1)[C:31]2=[CH:30][C:28]([Cl:29])=[CH:27][CH:26]=[C:25]2[CH3:24].[C:8]=12[CH2:9][N:4]([CH2:5][CH2:6][C:7]=1[N:12]([CH2:13][CH:14]3[CH2:15][O:16]3)[N:11]=[C:10]2[C:17]4=[CH:18][CH:19]=[C:20]([Br:21])[CH:22]=[CH:23]4)[C:2](=[O:3])[CH3:1]>>[CH2:33]1[CH2:34][N:35]([CH2:36][CH2:37][N:32]1[C:31]=2[CH:30]=[C:28]([Cl:29])[CH:27]=[CH:26][C:25]=2[CH3:24])[CH2:15][CH:14]([CH2:13][N:12]3[C:7]=4[CH2:6][CH2:5][N:4]([C:2]([CH3:1])=[O:3])[CH2:9][C:8]=4[C:10](=[N:11]3)[C:17]=5[CH:18]=[CH:19][C:20](=[CH:22][CH:23]=5)[Br:21])[OH:16],golden_91
[O:10]1[CH2:9][C:8]=2[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=2)[CH:2]([NH2:1])[C:16]=3[C:11]1=[CH:12][CH:13]=[C:14]([C:17](=[O:19])[OH:18])[CH:15]=3.[O:22]=[CH:21][OH:20]>>[CH:2]1([C:3]=2[CH:4]=[CH:5][CH:6]=[CH:7][C:8]=2[CH2:9][O:10][C:11]3=[CH:12][CH:13]=[C:14]([CH:15]=[C:16]13)[C:17](=[O:19])[OH:18])[NH:1][CH:21]=[O:22],golden_92
[C:13]1(=[CH:12][S:11][C:10]=2[C:15]1=[N:16][C:6]([Cl:5])=[N:7][C:8]=2[Cl:9])[Br:14].[CH2:4]=[CH:3][CH2:2][NH2:1]>>[C:13]1(=[CH:12][S:11][C:10]2=[C:8]([N:7]=[C:6]([N:16]=[C:15]12)[Cl:5])[NH:1][CH2:2][CH:3]=[CH2:4])[Br:14],golden_93
[CH:11]=1[C:12]([Cl:13])=[CH:14][CH:15]=[C:16]([Cl:17])[C:10]=1[NH2:9].[CH:4]=1[CH:3]=[C:2]([Br:1])[S:6][C:5]=1[C:7]#[N:8]>>[CH:4]=1[CH:3]=[C:2]([Br:1])[S:6][C:5]=1[C:7](=[NH:8])[NH:9][C:10]2=[C:16]([Cl:17])[CH:15]=[CH:14][C:12]([Cl:13])=[CH:11]2,golden_94
[CH2:7]([C:6]1=[CH:5][CH:4]=[C:3]([CH:10]=[CH:9]1)[O:2][CH3:1])[NH2:8].[CH:23]1=[N:24][CH:25]=[C:26]([C:20]([NH:19][C:17]([C:16]2=[C:28]3[C:36]([O:35][CH2:34][CH:29]3[CH2:30][C:31](=[O:33])[OH:32])=[C:13]([O:12][CH3:11])[CH:14]=[CH:15]2)=[O:18])=[C:21]1[Cl:22])[Cl:27]>>[C:28]12=[C:36]([O:35][CH2:34][CH:29]1[CH2:30][C:31](=[O:33])[NH:8][CH2:7][C:6]3=[CH:9][CH:10]=[C:3]([CH:4]=[CH:5]3)[O:2][CH3:1])[C:13]([O:12][CH3:11])=[CH:14][CH:15]=[C:16]2[C:17]([NH:19][C:20]4=[C:21]([Cl:22])[CH:23]=[N:24][CH:25]=[C:26]4[Cl:27])=[O:18],golden_95
[CH:6]1=[C:7]([C:2](=[CH:3][CH:4]=[CH:5]1)[CH3:1])[NH2:8].[Cl:22][C:21]=1[C:12](=[CH:13][N:14]=[C:15]2[CH:16]=[CH:17][CH:18]=[CH:19][C:20]=12)[N+:10](=[O:11])[O-:9]>>[C:2]1(=[CH:3][CH:4]=[CH:5][CH:6]=[C:7]1[NH:8][C:21]2=[C:12]([CH:13]=[N:14][C:15]=3[C:20]2=[CH:19][CH:18]=[CH:17][CH:16]=3)[N+:10](=[O:11])[O-:9])[CH3:1],golden_96
[CH2:6]([CH2:7][Br:8])[CH2:5][O:4][CH2:3][O:2][CH3:1].[CH:13]1=[CH:14][CH:9]=[CH:10][CH:11]=[C:12]1[P:15]([C:16]=2[CH:21]=[CH:20][CH:19]=[CH:18][CH:17]=2)[C:22]=3[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=3>>[CH:14]1=[CH:9][CH:10]=[CH:11][C:12](=[CH:13]1)[P+:15]([C:16]=2[CH:17]=[CH:18][CH:19]=[CH:20][CH:21]=2)([C:22]=3[CH:23]=[CH:24][CH:25]=[CH:26][CH:27]=3)[CH2:7][CH2:6][CH2:5][O:4][CH2:3][O:2][CH3:1],golden_97
